ACK_ID,ROW_ORDER,PEN_CONTRIB_EMPLR_NAME,PEN_CONTRIB_EMPLR_EIN,PEN_CONTRIB_EMPLR_AMT,PEN_CONTRIB_EMPLR_CBA_EXP_IND,PEN_CONTRIB_EMPLR_CBA_EXP_DATE,PEN_CONTR_EMPLR_MULTI_RATE_IND,PEN_CONTR_EMPLR_MULTI_RATE_AMT,PEN_CONTRIB_EMPLR_BASE_CD,PEN_CONTR_EMPLR_OTH_BASE_TEXT
"20141010151900P030014216399004",1,"ENERFAB INC.","310217488",28638194,"1",,"1",23.28,"4","SEE ATTACHED"
"20141014184935P040002672521003",4,"US AIRWAYS","541194634",24558130,"1",,"1",,,
"20141014184935P040002672521003",3,"SPIRIT AEROSYSTEMS INC","202130528",27876705,"1",,"1",,,
"20141014184935P040002672521003",2,"UNITED PARCEL SERVICE INC","362407381",27348304,"1",,"1",,,
"20141014184935P040002672521003",1,"UNITED AIRLINES INC","363040517",36954399,"1",,"1",,,
"20141009154819P040016381853004",4,"ALLISON SMITH CO LLC","061635072",628446,,"2015-05-31",,3.2,"1",
"20141009154819P040016381853004",3,"BRENT ELECTRIC","731489904",161722,,"2015-05-31",,3.2,"1",
"20141009154819P040016381853004",2,"OESCO","730381960",538395,,"2015-05-31",,3.2,"1",
"20141009154819P040016381853004",1,"STRICKLAND ELECTRIC","272698961",111959,,"2015-05-31",,3.2,"1",
"20141009082033P040014612079001",3,"ALLIED WASTE SERVICES","133831976",1179226,"1",,"1",,"2",
"20141009082033P040014612079001",2,"VCNA PRAIRIE ILLINOIS, INC.","261320351",1222030,"1",,"1",,"2",
"20141009082033P040014612079001",1,"WASTE MANAGEMENT","362660859",2477272,"1",,"1",,"2",
"20141009094250P040002105097001",1,"WATERBURY HOSPITAL","060665979",2086743,,"2017-09-30",,.08,"4","8% OF WAGES"
"20141009094250P040002105097002",7,"EPS TECHNOLOGY","260230693",218792,,"2014-05-31",,8.6,"1",
"20141009094250P040002105097002",6,"MCPHEE ELECTRIC","061441771",678695,,"2014-05-31",,8.6,"1",
"20141009094250P040002105097002",5,"GENOVESE & MASSARO","060631821",402383,,"2014-05-31",,8.6,"1",
"20141009094250P040002105097002",4,"ED-MOR ELECTRIC COMPANY","060802562",276291,,"2014-05-31",,8.6,"1",
"20141009094250P040002105097002",3,"DUCCI ELECTRIC","060716508",784736,,"2014-05-31",,8.6,"1",
"20141009094250P040002105097002",2,"PAUL DINTO ELECTRICAL","061189609",217321,,"2014-05-31",,8.6,"1",
"20141009094250P040002105097002",1,"DAY & ZIMMERMAN","232499111",442720,,"2014-05-31",,8.6,"1",
"20141007055754P040012890735001",1,,,,"0",,"0",,,
"20140922124239P030004512623001",1,,,,"0",,"0",,,
"20141007143609P040014618413001",3,"BATESVILLE LOGISTICS","352045228",55530,"0",,"0",59.9,"2",
"20141007143609P040014618413001",2,"WEST SIDE FUNERAL SERVICE","132696200",64311,"0","2015-10-31","0",50.82,"2",
"20141007143609P040014618413001",1,"THE HERTZ CORP.","131938568",256630,"0",,"0",58.56,"2",
"20141016024244P040004587029001",4,"ROSS METAL FABRICATORS","111260400",28087,,"2013-11-20",,7.2,"1",
"20141016024244P040004587029001",3,"CHARLES ROSS & SON CO.","111260400",34238,,"2013-11-20",,7.2,"1",
"20141016024244P040004587029001",2,"TRUCK KING INTERNATIONAL","112430934",77236,,"2013-11-20",,3.3,"1",
"20141016024244P040004587029001",1,"CECILWARE","111962293",13527,,"2013-11-20",,5.5,"1",
"20141015091545P030051625143004",4,"ANNING-JOHNSON COMPANY","362936794",17051109,,"2016-06-30",,5.5,"1",
"20141015091545P030051625143004",3,"PERFORMANCE CONTRACTING","341467168",19410579,,"2016-06-30",,5.5,"1",
"20141015091545P030051625143004",2,"HARLENS DRYWALL","911062308",20564182,,"2016-06-30",,5.5,"1",
"20141015091545P030051625143004",1,"WESTERN PARTITIONS INC","930655225",30632343,,"2016-06-30",,5.5,"1",
"20141015110038P040020270031017",5,"CATES SHEET METAL","480989005",126612,,"2014-04-30",,4.24,"1",
"20141015110038P040020270031017",4,"TENNESSEE SHEET METAL WORKERS","621147607",171388,,"2014-04-30",,4.24,"1",
"20141015110038P040020270031017",3,"KIRK & BLUM MANUFACTURING","310341570",176053,,"2014-04-30",,4.24,"1",
"20141015110038P040020270031017",2,"JOHN W. MCDOUGALL COMPANY","620435228",487321,,"2014-04-30",,4.24,"1",
"20141015110038P040020270031017",1,"READY DUCT","620852266",499468,,"2014-04-30",,4.24,"1",
"20141015111831P030020874045001",1,,,,"0",,"0",,,
"20141015171353P040021580797001",6,,,,"0",,"0",,,
"20141015171353P040021580797001",5,,,,"0",,"0",,,
"20141015171353P040021580797001",4,,,,"0",,"0",,,
"20141015171353P040021580797001",3,,,,"0",,"0",,,
"20141015171353P040021580797001",2,,,,"0",,"0",,,
"20141015171353P040021580797001",1,,,,"0",,"0",,,
"20141015171356P030021419645001",2,"BMW OF MANHATTAN","223116303",259435,,"2016-06-30",,1.9,"1",
"20141015171356P030021419645001",1,"MANHATTAN FORD/LINCOLN MERCURY","061033069",300852,,"2017-03-31",,1.9,"1",
"20141015112949P030052660145001",6,,,,"0",,"0",,,
"20141015112949P030052660145001",5,,,,"0",,"0",,,
"20141015112949P030052660145001",4,,,,"0",,"0",,,
"20141015112949P030052660145001",3,,,,"0",,"0",,,
"20141015112949P030052660145001",2,,,,"0",,"0",,,
"20141015112949P030052660145001",1,,,,"0",,"0",,,
"20141015132409P040021177357004",1,"WESTERN STATES FIRE PROTECTION","840973303",5399191,"1",,,5.5,"1",
"20141015211848P040002838617002",4,"WNJU","221696557",177575,,"2016-08-31",,8.44,,
"20141015211848P040002838617002",3,"HOME BOX OFFICE, INC.","050546061",637028,,"2015-10-25",,7.26,"4","$100 OF PAY"
"20141015211848P040002838617002",2,"WXTV-CHANNEL 41","208616665",223076,,"2016-05-31",,8.44,"4","$100 OF PAY"
"20141015211848P040002838617002",1,"EDUCATIONAL BROADCASTING CORP.","131945149",190094,,"2013-04-30",,9.81,"4","$100 OF PAY"
"20141015155543P030019197727001",1,,,,"0",,"0",,,
"20141015223919P040020822703001",1,,,,"0",,"0",,,
"20141015121714P040021037549001",1,,,,"0",,"0",,,
"20141017092739P040022140159001",6,,,,"0",,"0",,,
"20141017092739P040022140159001",5,,,,"0",,"0",,,
"20141017092739P040022140159001",4,,,,"0",,"0",,,
"20141017092739P040022140159001",3,,,,"0",,"0",,,
"20141017092739P040022140159001",2,,,,"0",,"0",,,
"20141017092739P040022140159001",1,,,,"0",,"0",,,
"20141020105057P040058186487001",1,,,,"0",,"0",,,
"20141028163539P040070449879001",2,"HUDSON NEWS COMPANY","113668123",35286,,"2009-01-09",,0,"4","WITHDRAWAL LIABILITY"
"20141028163539P040070449879001",1,"CITY & SUBURBAN DELIVERY SYSTEMS","113310380",98591,,"2009-01-09",,0,"4","WITHDRAWAL LIABILITY"
"20141029103018P030026108271001",8,"ANGELINI PLASTERING","043110255",219091,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",7,"MARGUERITE CONCRETE","043035873",244118,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",6,"STAFFORD CONSTRUCTION","043210718",260866,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",5,"EAST COAST FIREPROOFING","042693948",262158,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",4,"JL MARSHALL","050178105",301305,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",3,"G & C CONCRETE","043041248",318820,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",2,"H CARR & SONS","050297043",462550,,"2015-06-30",,12.21,"1",
"20141029103018P030026108271001",1,"S & F CONCRETE","042439090",560566,,"2015-06-30",,12.21,"1",
"20140128141813P040011541824001",1,,,,"0",,"0",,,
"20140129173432P040191012419001",1,,,,"0",,"0",,,
"20140130124111P030221774593001",1,,,,"0",,"0",,,
"20140130224534P040192905363001",1,,,,"0",,"0",,,
"20140205083243P030012774992001",1,,,,"0",,"0",,,
"20140205091935P040200778147001",1,,,,"0",,"0",,,
"20140205092219P030231673025001",1,,,,"0",,"0",,,
"20140206090146P030201221491001",1,,,,"0",,"0",,,
"20140122132906P030179644403001",1,,,,"0",,"0",,,
"20140129114019P040068023061001",1,,,,"0",,"0",,,
"20140130133431P040221176721001",1,,,,"0",,"0",,,
"20140206120101P040232414593001",1,,,,"0",,"0",,,
"20140204112700P030198305875001",1,,,,"0",,"0",,,
"20140204114653P040229537073001",1,,,,"0",,"0",,,
"20140204135514P040070871509001",1,,,,"0",,"0",,,
"20140205122457P030231987873001",1,,,,"0",,"0",,,
"20140128110558P040188811251001",1,,,,"0",,"0",,,
"20140128110716P030030455831001",1,,,,"0",,"0",,,
"20140128121049P030218288385001",1,,,,"0",,"0",,,
"20140127081803P040067047573001",1,,,,"0",,"0",,,
"20140205155318P030200157811001",1,,,,"0",,"0",,,
"20140127082527P030063988629001",1,,,,"0",,"0",,,
"20140131194355P040223418065001",1,,,,"0",,"0",,,
"20140201064900P030066790133001",1,,,,"0",,"0",,,
"20140203175444P040030013031001",1,,,,"0",,"0",,,
"20140204214009P040230158369001",1,,,,"0",,"0",,,
"20140114184227P040195724801001",1,,,,"0",,"0",,,
"20140121110830P040002330260001",1,,,,"0",,"0",,,
"20140121110850P040063714197001",1,,,,"0",,"0",,,
"20140107214450P030021225127001",1,,,,"0",,"0",,,
"20140111114439P040164537027001",1,,,,"0",,"0",,,
"20140111114554P040164538547001",1,,,,"0",,"0",,,
"20140114123337P040009354978001",1,,,,"0",,"0",,,
"20140117132346P030200606785001",1,,,,"0",,"0",,,
"20140114130107P040195363489001",1,,,,"0",,"0",,,
"20140120125313P030176500675001",1,,,,"0",,"0",,,
"20140102114558P040151659331001",1,,,,"0",,"0",,,
"20140104164900P030156106643001",1,,,,"0",,"0",,,
"20140104175019P040155096531001",1,,,,"0",,"0",,,
"20140110130622P040009047906001",1,,,,"0",,"0",,,
"20140115103907P040170145651001",1,,,,"0",,"0",,,
"20140115105545P040170174835001",1,,,,"0",,"0",,,
"20140114145300P040060605989001",1,,,,"0",,"0",,,
"20140113125337P040060098485001",1,,,,"0",,"0",,,
"20140117174929P040173739955001",1,,,,"0",,"0",,,
"20140116180105P030027304839001",1,,,,"0",,"0",,,
"20140117095715P040200123809001",1,,,,"0",,"0",,,
"20140106123049P040023838967001",1,,,,"0",,"0",,,
"20140114121545P030195808241001",1,,,,"0",,"0",,,
"20140114165106P040060703925001",1,,,,"0",,"0",,,
"20140122094315P040064622517001",1,,,,"0",,"0",,,
"20140113145404P030058421413001",1,,,,"0",,"0",,,
"20140214150900P040245403425001",1,,,,"0",,"0",,,
"20140214152047P030247861761001",1,,,,"0",,"0",,,
"20140214152114P040031765975001",1,,,,"0",,"0",,,
"20140214152132P040031766007001",1,,,,"0",,"0",,,
"20140214152148P030247862929001",1,,,,"0",,"0",,,
"20140214153208P040031767431001",1,,,,"0",,"0",,,
"20140214153312P040001194742001",1,,,,"0",,"0",,,
"20140214153323P040031767639001",1,,,,"0",,"0",,,
"20140211131714P040240481281001",1,,,,"0",,"0",,,
"20140212085342P040210307043001",1,,,,"0",,"0",,,
"20140209140934P030070178437001",1,,,,"0",,"0",,,
"20140214065251P030212530579001",1,,,,"0",,"0",,,
"20140212120307P040210494595001",1,,,,"0",,"0",,,
"20140210161038P040012665888001",1,,,,"0",,"0",,,
"20140214162359P030247924097001",1,,,,"0",,"0",,,
"20140211073742P030208054419001",1,,,,"0",,"0",,,
"20140212133208P030210165171001",1,,,,"0",,"0",,,
"20140207110144P030235400401001",1,,,,"0",,"0",,,
"20140207113518P030012976400001",1,,,,"0",,"0",,,
"20140210110831P040074116133001",1,,,,"0",,"0",,,
"20140211093841P030242337665001",1,,,,"0",,"0",,,
"20140211150224P040209279859001",1,,,,"0",,"0",,,
"20140213145053P040212000819001",1,,,,"0",,"0",,,
"20140216102657P030214841203001",1,,,,"0",,"0",,,
"20140210110915P030240578673001",1,,,,"0",,"0",,,
"20140210111007P030240580609001",1,,,,"0",,"0",,,
"20140210111108P040074118357001",1,,,,"0",,"0",,,
"20140210111154P040074119125001",1,,,,"0",,"0",,,
"20140210111229P040074119717001",1,,,,"0",,"0",,,
"20140210111318P040074120373001",1,,,,"0",,"0",,,
"20140210111419P040074121269001",1,,,,"0",,"0",,,
"20140210111456P040074121829001",1,,,,"0",,"0",,,
"20140211152149P040209296707001",1,,,,"0",,"0",,,
"20140213160102P040076549269001",1,,,,"0",,"0",,,
"20140212144357P040210633555001",1,,,,"0",,"0",,,
"20140212144423P040242075233001",1,,,,"0",,"0",,,
"20140212150846P040011684770001",1,,,,"0",,"0",,,
"20140207143836P040203670371001",1,,,,"0",,"0",,,
"20140207152739P040203751651001",1,,,,"0",,"0",,,
"20140207153150P040203758627001",1,,,,"0",,"0",,,
"20140207160117P040203806803001",1,,,,"0",,"0",,,
"20140211114957P030208390819001",1,,,,"0",,"0",,,
"20140211120929P040209134291001",1,,,,"0",,"0",,,
"20140310185742P030083383045001",1,,,,"0",,"0",,,
"20140310205440P030083399477001",1,,,,"0",,"0",,,
"20140310211308P030083403445001",1,,,,"0",,"0",,,
"20140311183309P040287716353001",1,,,,"0",,"0",,,
"20140306140935P040243212387001",1,,,,"0",,"0",,,
"20140312093049P040288629377001",1,,,,"0",,"0",,,
"20140313142126P030250186771001",1,,,,"0",,"0",,,
"20140313143116P030014580914001",1,,,,"0",,"0",,,
"20140303142752P030015146432001",1,,,,"0",,"0",,,
"20140310125015P040035678679001",1,,,,"0",,"0",,,
"20140311125113P030083579045001",1,,,,"0",,"0",,,
"20140228171121P040033437799001",1,,,,"0",,"0",,,
"20140307130550P030082186005001",1,,,,"0",,"0",,,
"20140307130624P040244754195001",3,"PHILOTECHNICS","232893108",92028,,"2011-05-31",,5.5,"1",
"20140307130624P040244754195001",2,"CH2M-WG IDAHO","050607601",235053,,"2011-05-31",,5.5,"1",
"20140307130624P040244754195001",1,"URS ENERGY AND CONSTRUCTION","310217470",537881,,"2011-05-31",,5.5,"1",
"20140307130715P030082186197001",1,,,,"0",,"0",,,
"20140313101750P040089022917001",1,,,,"0",,"0",,,
"20140228183758P030014890528001",1,,,,"0",,"0",,,
"20140304162043P030237952899001",1,,,,"0",,"0",,,
"20140306093411P040035113095001",1,,,,"0",,"0",,,
"20140306095148P030081706693001",1,,,,"0",,"0",,,
"20140311131551P030083584293001",1,,,,"0",,"0",,,
"20140304102257P030237387091001",1,,,,"0",,"0",,,
"20140306105847P030240567139001",1,,,,"0",,"0",,,
"20140307135726P030015506992001",1,,,,"0",,"0",,,
"20140307142743P030242108947001",1,,,,"0",,"0",,,
"20140311140909P030247647555001",1,,,,"0",,"0",,,
"20140303084646P040084233749001",1,,,,"0",,"0",,,
"20140304124106P040240280067001",1,,,,"0",,"0",,,
"20140305132513P040241644227001",1,,,,"0",,"0",,,
"20140303171405P040239050147001",1,,,,"0",,"0",,,
"20140304132304P030237675251001",1,,,,"0",,"0",,,
"20140312193841P040088913333001",1,,,,"0",,"0",,,
"20140306114502P040242999059001",1,,,,"0",,"0",,,
"20140305140421P040085166645001",1,,,,"0",,"0",,,
"20140313092017P040036728343001",1,,,,"0",,"0",,,
"20140313131419P040253147475001",1,,,,"0",,"0",,,
"20140306121421P040243044739001",1,,,,"0",,"0",,,
"20140307174543P040281336193001",1,,,,"0",,"0",,,
"20140307174611P040281336369001",1,,,,"0",,"0",,,
"20140220134730P030220029699001",1,,,,"0",,"0",,,
"20140219205105P040079745733001",1,,,,"0",,"0",,,
"20140227123256P030078409333001",1,,,,"0",,"0",,,
"20140219124413P030218522979001",1,,,,"0",,"0",,,
"20140220095222P030074028229001",1,,,,"0",,"0",,,
"20140225110545P040033052087001",1,,,,"0",,"0",,,
"20140225114913P030077195317001",1,,,,"0",,"0",,,
"20140218155321P030217426883001",1,,,,"0",,"0",,,
"20140218162100P040219318515001",1,,,,"0",,"0",,,
"20140220180318P030037174199001",1,,,,"0",,"0",,,
"20140227081827P040082670421001",1,,,,"0",,"0",,,
"20140221135600P040223942339001",1,,,,"0",,"0",,,
"20140225183937P040082108309001",1,,,,"0",,"0",,,
"20140226071905P030077795941001",1,,,,"0",,"0",,,
"20140219151232P040253512737001",1,,,,"0",,"0",,,
"20140226124324P040265998689001",1,,,,"0",,"0",,,
"20140217125722P040032113479001",1,,,,"0",,"0",,,
"20140218123016P040251646929001",1,,,,"0",,"0",,,
"20140226125706P030228643043001",1,,,,"0",,"0",,,
"20140220115410P040032690807001",1,,,,"0",,"0",,,
"20140218200939P040219552499001",1,,,,"0",,"0",,,
"20140218130744P040251711345001",1,,,,"0",,"0",,,
"20140219072634P030254817441001",1,,,,"0",,"0",,,
"20140219091438P040220552339001",1,,,,"0",,"0",,,
"20140219093404P030218349443001",1,,,,"0",,"0",,,
"20140219093728P030218351907001",1,,,,"0",,"0",,,
"20140219093838P030218352899001",1,,,,"0",,"0",,,
"20140219093938P030218354691001",1,,,,"0",,"0",,,
"20140219094034P030218355635001",1,,,,"0",,"0",,,
"20140219094139P030218355667001",1,,,,"0",,"0",,,
"20140219094241P030218355971001",1,,,,"0",,"0",,,
"20140219094344P030218356099001",1,,,,"0",,"0",,,
"20140221172728P040032761639001",1,,,,"0",,"0",,,
"20140225134131P030077287941001",1,,,,"0",,"0",,,
"20140219103108P030255040641001",1,,,,"0",,"0",,,
"20140219110856P030255105201001",1,,,,"0",,"0",,,
"20140221234529P030012943890001",1,,,,"0",,"0",,,
"20140221234633P040257883153001",1,,,,"0",,"0",,,
"20140221234949P040257886465001",1,,,,"0",,"0",,,
"20140222140622P040225414835001",1,,,,"0",,"0",,,
"20140225142353P030077328053001",1,,,,"0",,"0",,,
"20140226170627P030266929841001",1,,,,"0",,"0",,,
"20140220131506P040222364659001",1,,,,"0",,"0",,,
"20140223104933P040226742579001",1,,,,"0",,"0",,,
"20140223111542P040226761443001",1,,,,"0",,"0",,,
"20140223124017P030076284293001",1,,,,"0",,"0",,,
"20140223124110P040226823987001",1,,,,"0",,"0",,,
"20140223124144P030076284565001",1,,,,"0",,"0",,,
"20140223124222P040226824403001",1,,,,"0",,"0",,,
"20140223124255P030076284741001",1,,,,"0",,"0",,,
"20140223124327P040226825587001",1,,,,"0",,"0",,,
"20140223124410P030076284853001",1,,,,"0",,"0",,,
"20140223124443P030076284965001",1,,,,"0",,"0",,,
"20140223124519P040226826227001",1,,,,"0",,"0",,,
"20140223124553P030076285157001",1,,,,"0",,"0",,,
"20140223124630P040226826259001",1,,,,"0",,"0",,,
"20140318232736P030300383441001",1,,,,"0",,"0",,,
"20140317125618P040258837571001",1,,,,"0",,"0",,,
"20140317180550P030298309329001",1,,,,"0",,"0",,,
"20140317080800P030087051461001",1,,,,"0",,"0",,,
"20140319141539P040300481985001",1,,,,"0",,"0",,,
"20140317193109P040090698981001",1,,,,"0",,"0",,,
"20140318090352P030087372053001",1,,,,"0",,"0",,,
"20140318092545P030299300049001",1,,,,"0",,"0",,,
"20140314100151P030085069941001",1,,,,"0",,"0",,,
"20140314101404P030292658433001",1,,,,"0",,"0",,,
"20140314104133P030085108853001",1,,,,"0",,"0",,,
"20140314162403P040292537361001",1,,,,"0",,"0",,,
"20140317160959P030298114241001",1,,,,"0",,"0",,,
"20140314180626P040292660449001",1,,,,"0",,"0",,,
"20140314192150P030085413381001",1,,,,"0",,"0",,,
"20140320084507P040263059539001",1,,,,"0",,"0",,,
"20140320084525P030259786627001",1,,,,"0",,"0",,,
"20140318103240P030042628775001",1,,,,"0",,"0",,,
"20140317115201P040090556101001",1,,,,"0",,"0",,,
"20140318165000P030257164707001",1,,,,"0",,"0",,,
"20140403115111P030279671747001",1,,,,"0",,"0",,,
"20140403121922P030326419201001",1,,,,"0",,"0",,,
"20140405104150P030282871763001",1,,,,"0",,"0",,,
"20140407103520P030333520449001",1,,,,"0",,"0",,,
"20140407163555P030046684807001",1,,,,"0",,"0",,,
"20140403131321P030326500561001",1,,,,"0",,"0",,,
"20140402090020P040015671778001",1,,,,"0",,"0",,,
"20140403141108P040097760213001",1,,,,"0",,"0",,,
"20140408150601P030018458544001",1,,,,"0",,"0",,,
"20140408150646P030335553697001",1,,,,"0",,"0",,,
"20140408120739P040333003553001",1,,,,"0",,"0",,,
"20140407144507P030286003155001",2,"MARK SAND & GRAVEL","411864946",40282,,"2014-04-30",,1.18,"1",
"20140407144507P030286003155001",1,"ANDERSON BROTHERS CONSTRUCTION","410903033",80409,,"2014-04-30",,1.18,"1",
"20140404093748P030095179941001",1,,,,"0",,"0",,,
"20140408123415P040291720515001",1,,,,"0",,"0",,,
"20140408123928P030287392307001",1,,,,"0",,"0",,,
"20140409095901P030097508997001",1,,,,"0",,"0",,,
"20140409102202P040334622833001",1,,,,"0",,"0",,,
"20140402122259P030278285667001",1,,,,"0",,"0",,,
"20140404115205P040043267159001",1,,,,"0",,"0",,,
"20140407124442P030285880307001",1,,,,"0",,"0",,,
"20140324185606P040308458881001",1,,,,"0",,"0",,,
"20140321094426P030304407841001",1,,,,"0",,"0",,,
"20140324194650P040269838243001",1,,,,"0",,"0",,,
"20140321104341P040303380689001",1,,,,"0",,"0",,,
"20140326052010P040271993523001",1,,,,"0",,"0",,,
"20140328145417P030044793607001",1,"TOBIN & ROONEY","741491826",12614,"0","2007-06-30","0",1,"3",
"20140320092531P040091977429001",1,,,,"0",,"0",,,
"20140320172708P030260319971001",1,,,,"0",,"0",,,
"20140325095815P040309436449001",1,,,,"0",,"0",,,
"20140325095837P030003390196001",1,,,,"0",,"0",,,
"20140325102316P040309482513001",1,,,,"0",,"0",,,
"20140326225734P040273352275001",1,,,,"0",,"0",,,
"20140325102736P030090554677001",1,,,,"0",,"0",,,
"20140320100158P030259853267001",1,,,,"0",,"0",,,
"20140326103222P030091246341001",1,,,,"0",,"0",,,
"20140326104022P040311212641001",1,,,,"0",,"0",,,
"20140326104323P040272383955001",1,,,,"0",,"0",,,
"20140327131142P040274292275001",1,,,,"0",,"0",,,
"20140320112356P040301781665001",1,,,,"0",,"0",,,
"20140326104513P040272385283001",1,,,,"0",,"0",,,
"20140327134649P030270016691001",1,,,,"0",,"0",,,
"20140327215130P040015233026001",1,,,,"0",,"0",,,
"20140328113829P040275579683001",1,,,,"0",,"0",,,
"20140320131747P040301925601001",1,,,,"0",,"0",,,
"20140321140146P040092465829001",1,,,,"0",,"0",,,
"20140324141318P030090059573001",1,,,,"0",,"0",,,
"20140328201604P040276121107001",1,,,,"0",,"0",,,
"20140331141240P040095689413001",1,,,,"0",,"0",,,
"20140327095647P040041564503001",1,,,,"0",,"0",,,
"20140330171047P030044874679001",1,,,,"0",,"0",,,
"20140330172602P030044875943001",1,,,,"0",,"0",,,
"20140326110347P040093760517001",1,,,,"0",,"0",,,
"20140328131240P040275659059001",1,,,,"0",,"0",,,
"20140324100241P030265057907001",1,,,,"0",,"0",,,
"20140325115701P040309648225001",1,,,,"0",,"0",,,
"20140325122951P040093586357001",1,,,,"0",,"0",,,
"20140321092101P040264789971001",1,,,,"0",,"0",,,
"20140324113144P040269411091001",1,,,,"0",,"0",,,
"20140410131605P030290486003001",1,,,,"0",,"0",,,
"20140410133320P030290500451001",1,,,,"0",,"0",,,
"20140410133539P040294786579001",1,,,,"0",,"0",,,
"20140410133641P030290503363001",1,,,,"0",,"0",,,
"20140410204849P030098108245001",1,,,,"0",,"0",,,
"20140410204954P030098109253001",1,,,,"0",,"0",,,
"20140410205135P030098110421001",1,,,,"0",,"0",,,
"20140410205333P030098112005001",1,,,,"0",,"0",,,
"20140411141046P030047349815001",1,,,,"0",,"0",,,
"20140411081344P030340073873001",1,,,,"0",,"0",,,
"20140410114554P040336398065001",1,,,,"0",,"0",,,
"20140411155529P040043882647001",1,,,,"0",,"0",,,
"20140429083124P030316502227001",1,,,,"0",,"0",,,
"20140422092648P040312524115001",1,,,,"0",,"0",,,
"20140425141926P030104169733001",1,,,,"0",,"0",,,
"20140423090406P030103349221001",1,,,,"0",,"0",,,
"20140423090435P040313719939001",1,,,,"0",,"0",,,
"20140423090458P040313720771001",1,,,,"0",,"0",,,
"20140423090542P030103349557001",1,,,,"0",,"0",,,
"20140423090603P030103349701001",1,,,,"0",,"0",,,
"20140423090623P030103349957001",1,,,,"0",,"0",,,
"20140421135231P040106105877001",1,,,,"0",,"0",,,
"20140422194009P030017930658001",1,,,,"0",,"0",,,
"20140422202521P040313123811001",1,,,,"0",,"0",,,
"20140422205610P040018882192001",1,,,,"0",,"0",,,
"20140422210726P040356299297001",1,,,,"0",,"0",,,
"20140423093405P040048541191001",1,,,,"0",,"0",,,
"20140423094101P040313754339001",1,,,,"0",,"0",,,
"20140421140446P040354167057001",1,,,,"0",,"0",,,
"20140421205010P030102503781001",1,,,,"0",,"0",,,
"20140423153301P040314079203001",1,,,,"0",,"0",,,
