FIELD_POSITION,FIELD_NAME,TYPE,SIZE (only for text fields)
79,SEP_PARTCP_PARTL_VSTD_CNT,NUMERIC
80,CONTRIB_EMPLRS_CNT,NUMERIC
81,TYPE_PENSION_BNFT_CODE,TEXT,40
82,TYPE_WELFARE_BNFT_CODE,TEXT,40
83,FUNDING_INSURANCE_IND,TEXT,1
84,FUNDING_SEC412_IND,TEXT,1
85,FUNDING_TRUST_IND,TEXT,1
86,FUNDING_GEN_ASSET_IND,TEXT,1
87,BENEFIT_INSURANCE_IND,TEXT,1
88,BENEFIT_SEC412_IND,TEXT,1
89,BENEFIT_TRUST_IND,TEXT,1
90,BENEFIT_GEN_ASSET_IND,TEXT,1
91,SCH_R_ATTACHED_IND,TEXT,1
92,SCH_MB_ATTACHED_IND,TEXT,1
93,SCH_SB_ATTACHED_IND,TEXT,1
94,SCH_H_ATTACHED_IND,TEXT,1
95,SCH_I_ATTACHED_IND,TEXT,1
96,SCH_A_ATTACHED_IND,TEXT,1
97,NUM_SCH_A_ATTACHED_CNT,TEXT,4
98,SCH_C_ATTACHED_IND,TEXT,1
99,SCH_D_ATTACHED_IND,TEXT,1
100,SCH_G_ATTACHED_IND,TEXT,1
101,FILING_STATUS,TEXT,50
102,DATE_RECEIVED,TEXT,10
103,VALID_ADMIN_SIGNATURE,TEXT,54
104,VALID_DFE_SIGNATURE,TEXT,54
105,VALID_SPONSOR_SIGNATURE,TEXT,54
106,ADMIN_PHONE_NUM_FOREIGN,TEXT,30
107,SPONS_DFE_PHONE_NUM_FOREIGN,TEXT,30
108,ADMIN_NAME_SAME_SPON_IND,TEXT,1
109,ADMIN_ADDRESS_SAME_SPON_IND,TEXT,1
110,PREPARER_NAME,TEXT,35
111,PREPARER_FIRM_NAME,TEXT,35
112,PREPARER_US_ADDRESS1,TEXT,35
113,PREPARER_US_ADDRESS2,TEXT,35
114,PREPARER_US_CITY,TEXT,22
115,PREPARER_US_STATE,TEXT,2
116,PREPARER_US_ZIP,TEXT,12
117,PREPARER_FOREIGN_ADDRESS1,TEXT,35
118,PREPARER_FOREIGN_ADDRESS2,TEXT,35
119,PREPARER_FOREIGN_CITY,TEXT,22
120,PREPARER_FOREIGN_PROV_STATE,TEXT,22
121,PREPARER_FOREIGN_CNTRY,TEXT,2
122,PREPARER_FOREIGN_POSTAL_CD,TEXT,22
123,PREPARER_PHONE_NUM,TEXT,10
124,PREPARER_PHONE_NUM_FOREIGN,TEXT,30
